message_id,user_id,conversation_type,group_id,business_id,sender_user_id,created_at,message_text,media_type,media_id,forwarded_count,action,message_type,reason,confidence,evidence_message_ids
cf_msg_001,u_012,business,,business_092,,2026-08-01 09:00,"Ladakh 7-night package is back at Rs 17,999. View the itinerary in the app. Reply STOP to unsubscribe.",,,0,digest,promotion,"The user has shown interest in this travel business, so the promotion is relevant but deferrable.",0.9,message_0007;message_0110
cf_msg_002,u_007,business,,business_092,,2026-08-01 09:00,"Ladakh 7-night package is back at Rs 17,999. View the itinerary in the app. Reply STOP to unsubscribe.",,,0,mute,promotion,The user opted out of this travel business and repeatedly dismissed similar promotions.,0.93,message_0111;message_0112
cf_msg_003,u_021,personal,,,u_049,2026-08-01 09:10,"Hi, your number is eligible for a 40% phone-case discount. Reply YES if interested or STOP to opt out.",,,0,mute,spam,"This is an unsolicited generic sales message from an unfamiliar sender, without evidence of deception.",0.9,none
cf_msg_004,u_021,personal,,,u_049,2026-08-01 09:10,"Hi, your number is eligible for a 40% phone-case discount. Reply with your card PIN and OTP to activate it today.",,,0,mute,scam,The unfamiliar sender uses a fake offer to request sensitive banking credentials.,0.97,none
cf_msg_005,u_035,group,group_009,,u_042,2026-08-01 09:20,Forwarded: Good morning everyone. Wishing you a peaceful day and good health.,,,2,digest,greeting,The forwarded content is primarily a harmless greeting and can be read later.,0.89,message_0009
cf_msg_006,u_035,group,group_009,,u_042,2026-08-01 09:20,Forwarded: The city library released a free archive of old local maps. Sharing in case anyone wants to browse it later.,,,2,digest,forward,This is benign forwarded information with no immediate action or more specific primary purpose.,0.87,message_0009
cf_msg_007,u_004,personal,,,u_046,2026-08-01 09:30,"Hi, are you still coordinating registrations for Saturday? I need to finalize the volunteer list.",,,0,notify,personal,A frequently answered contact asks the user a direct question that needs a response.,0.9,message_0055
cf_msg_008,u_004,personal,,,u_049,2026-08-01 09:30,"Hi, are you still coordinating registrations for Saturday? I need to finalize the volunteer list.",,,0,digest,unknown,The sender is unfamiliar and the benign question has no immediate consequence or safety risk.,0.86,none
cf_msg_009,u_004,group,group_006,,u_054,2026-08-01 09:40,@u_004 can you confirm whether Sunday pickup still works for you before I book the cab?,,,0,notify,personal,The message directly asks this user for a response before the sender makes a booking.,0.91,message_0006
cf_msg_010,u_004,group,group_006,,u_054,2026-08-01 09:40,"Sunday pickup is at 7 PM from the main gate. The cab leaves at 7:10, so please arrive before then.",,,0,notify,event,This is a time-specific pickup announcement that the user needs before the event.,0.91,message_0006
cf_msg_011,u_011,group,group_002,,u_043,2026-08-01 09:50,Lift maintenance starts at 4 PM today. Use the service lift until the work is complete.,,,0,notify,event,A trusted group admin sent a same-day operational announcement that affects access.,0.91,message_0130
cf_msg_012,u_011,group,group_002,,u_043,2026-08-01 09:50,Fire alarm triggered in Tower B. Leave by the stairs now and do not use the lifts.,,,0,notify,urgent,A trusted group admin reports an immediate safety emergency requiring action now.,0.98,message_0130
cf_msg_013,u_001,business,,business_001,,2026-08-01 10:00,Your order ending 4821 is at the gate. Confirm delivery in the Amazon app within 10 minutes so the driver can enter.,,,0,notify,business_update,This awaited order update requires near-term confirmation to complete delivery.,0.94,message_0004
cf_msg_014,u_001,business,,business_001,,2026-08-01 10:00,Your order ending 4821 was delivered. Share feedback in the Amazon app whenever convenient.,,,0,digest,business_update,The legitimate delivery follow-up is useful but the optional feedback can wait.,0.91,message_0004
cf_msg_015,u_009,personal,,,u_041,2026-08-01 10:10,I paid the electricity bill. Please send your half through our usual payment app whenever convenient.,,,0,digest,payment,"A trusted contact makes a legitimate, non-urgent payment request through the usual app.",0.92,message_0368
cf_msg_016,u_009,personal,,,u_041,2026-08-01 10:10,I paid the electricity bill. Send your half through this new payment link now and reply with the OTP so I can confirm it.,,,0,mute,scam,The message conflicts with the usual payment behavior and requests an OTP through a new link.,0.97,message_0368
